,datetime,ascii_data,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,command_count,last_command_mss_coarse_time,last_command_mss_fine_time,word__spare,last_command_opcode,last_command_parameter_1,last_command_parameter_2,last_command_parameter_3,last_command_parameter_4,last_command_parameter_5,last_command_parameter_6,word_23_spare,word_24_spare,word_25_spare,word_26_spare,word_27_spare,word_28_spare,word_29_spare,word_30_spare,command_response_high_word,command_response_low_word
28,03/06/2017 01:25:31.1107,,402,17,0,57,59,0,0,0,1,1025,3,51,49,8867768,0,0,51.0,1172863524.0,120.0,105.0,61.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
29,03/06/2017 01:25:31.1197,[1553   ] EPC_USER_METADATA val=5000,402,17,0,57,59,0,0,0,1,1026,3,767,49,8867683,0,0,,,,,,,,,,,,,,,,,,,,,
30,03/06/2017 01:25:31.1287,[0000224] cmd:success [0x00001388],402,17,0,57,59,0,0,0,1,1026,3,768,49,8867684,0,0,,,,,,,,,,,,,,,,,,,,,
31,03/06/2017 01:27:03.0569,,402,17,0,57,59,0,0,0,1,1025,3,52,49,8960072,0,0,52.0,1172863616.0,184.0,105.0,62.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,03/06/2017 01:27:03.0669,[1553   ] SEQ_REG_SET reg=1 val=1,402,17,0,57,59,0,0,0,1,1026,3,769,49,8959986,0,0,,,,,,,,,,,,,,,,,,,,,
33,03/06/2017 01:27:03.0759,[0000225] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,770,49,8960006,0,0,,,,,,,,,,,,,,,,,,,,,
34,03/06/2017 01:27:35.0661,,402,17,0,57,59,0,0,0,1,1025,3,53,49,8992373,0,0,53.0,1172863649.0,3.0,105.0,8.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0
35,03/06/2017 01:27:35.0761,[1553   ] SEQ_RUN seq=130,402,17,0,57,59,0,0,0,1,1026,3,771,49,8992287,0,0,,,,,,,,,,,,,,,,,,,,,
36,03/06/2017 01:27:35.0841,TaskRun   seqTask_130 [uid=1361810275],402,17,0,57,59,0,0,0,1,1026,3,772,49,8992289,0,0,,,,,,,,,,,,,,,,,,,,,
37,03/06/2017 01:27:35.0951,TaskRun   seqTask_130 [uid=1361810275],402,17,0,57,59,0,0,0,1,1026,3,772,49,8992289,0,0,,,,,,,,,,,,,,,,,,,,,
38,03/06/2017 01:27:35.9051,[0000226] cmd:success [0x00000082],402,17,0,57,59,0,0,0,1,1026,3,773,49,8992290,0,0,,,,,,,,,,,,,,,,,,,,,
39,03/06/2017 01:27:35.9141,[130:000] PCU_ENABLE bus=2,402,17,0,57,59,0,0,0,1,1026,3,774,49,8992298,0,0,,,,,,,,,,,,,,,,,,,,,
40,03/06/2017 01:27:35.9241,[0000227] cmd:success [0x00000002],402,17,0,57,59,0,0,0,1,1026,3,775,49,8992309,0,0,,,,,,,,,,,,,,,,,,,,,
41,03/06/2017 01:27:35.9331,[130:001] SEQ_PAUSE dt=1,402,17,0,57,59,0,0,0,1,1026,3,776,49,8992310,0,0,,,,,,,,,,,,,,,,,,,,,
42,03/06/2017 01:27:35.9701,[130:002] PCU_SWITCH_ON bus=2 sw=%1 dt=0 te,402,17,0,57,59,0,0,0,1,1026,3,777,49,8993310,0,0,,,,,,,,,,,,,,,,,,,,,
43,03/06/2017 01:27:35.9791,[0000228] cmd:success [0x00000002],402,17,0,57,59,0,0,0,1,1026,3,778,49,8993324,0,0,,,,,,,,,,,,,,,,,,,,,
44,03/06/2017 01:27:35.9891,[0000228] cmd:success [0x00000002],402,17,0,57,59,0,0,0,1,1026,3,778,49,8993324,0,0,,,,,,,,,,,,,,,,,,,,,
45,03/06/2017 01:27:35.9991,[130:003] SEQ_PAUSE dt=1,402,17,0,57,59,0,0,0,1,1026,3,779,49,8993324,0,0,,,,,,,,,,,,,,,,,,,,,
46,03/06/2017 01:27:37.0743,[130:004] MCB_ENABLE mcb=%1,402,17,0,57,59,0,0,0,1,1026,3,780,49,8994324,0,0,,,,,,,,,,,,,,,,,,,,,
47,03/06/2017 01:27:37.0843,[0000229] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,781,49,8994328,0,0,,,,,,,,,,,,,,,,,,,,,
48,03/06/2017 01:27:37.8953,[130:005] SEQ_SLEEP dtms=500,402,17,0,57,59,0,0,0,1,1026,3,782,49,8994328,0,0,,,,,,,,,,,,,,,,,,,,,
49,03/06/2017 01:27:37.9253,[130:006] MOTOR_ENABLE mcb=%1 mot=1,402,17,0,57,59,0,0,0,1,1026,3,783,49,8994829,0,0,,,,,,,,,,,,,,,,,,,,,
50,03/06/2017 01:27:37.9343,[0000230] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,784,49,8994834,0,0,,,,,,,,,,,,,,,,,,,,,
51,03/06/2017 01:27:37.9423,[130:007] SEQ_SLEEP dtms=500,402,17,0,57,59,0,0,0,1,1026,3,785,49,8994835,0,0,,,,,,,,,,,,,,,,,,,,,
52,03/06/2017 01:27:37.9703,[130:008] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,786,49,8995336,0,0,,,,,,,,,,,,,,,,,,,,,
53,03/06/2017 01:27:37.9793,[0000231] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,787,49,8995342,0,0,,,,,,,,,,,,,,,,,,,,,
54,03/06/2017 01:27:37.9893,[130:009] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,788,49,8995343,0,0,,,,,,,,,,,,,,,,,,,,,
55,03/06/2017 01:27:38.9984,[0000232] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,789,49,8995350,0,0,,,,,,,,,,,,,,,,,,,,,
56,03/06/2017 01:27:39.0074,[130:010] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,790,49,8995351,0,0,,,,,,,,,,,,,,,,,,,,,
57,03/06/2017 01:27:39.0164,[0000233] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,791,49,8995358,0,0,,,,,,,,,,,,,,,,,,,,,
58,03/06/2017 01:27:39.0265,[130:011] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,792,49,8995358,0,0,,,,,,,,,,,,,,,,,,,,,
59,03/06/2017 01:27:39.0355,[0000234] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,793,49,8995365,0,0,,,,,,,,,,,,,,,,,,,,,
60,03/06/2017 01:27:39.0465,[130:012] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,794,49,8995366,0,0,,,,,,,,,,,,,,,,,,,,,
61,03/06/2017 01:27:39.0565,[0000235] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,795,49,8995373,0,0,,,,,,,,,,,,,,,,,,,,,
62,03/06/2017 01:27:39.0655,[130:013] MOTOR_WRITE mcb=%1 mot=1 addr=0x0,402,17,0,57,59,0,0,0,1,1026,3,796,49,8995374,0,0,,,,,,,,,,,,,,,,,,,,,
63,03/06/2017 01:27:39.0745,[0000236] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,797,49,8995381,0,0,,,,,,,,,,,,,,,,,,,,,
64,03/06/2017 01:27:39.0845,[0000236] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,797,49,8995381,0,0,,,,,,,,,,,,,,,,,,,,,
65,03/06/2017 01:27:39.8935,[130:014] MOTOR_WRITE mcb=%1 mot=1 addr=0x1,402,17,0,57,59,0,0,0,1,1026,3,798,49,8995382,0,0,,,,,,,,,,,,,,,,,,,,,
66,03/06/2017 01:27:39.9025,[0000237] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,799,49,8995388,0,0,,,,,,,,,,,,,,,,,,,,,
67,03/06/2017 01:27:39.9115,[130:015] MOTOR_WRITE mcb=%1 mot=1 addr=0x1,402,17,0,57,59,0,0,0,1,1026,3,800,49,8995389,0,0,,,,,,,,,,,,,,,,,,,,,
68,03/06/2017 01:27:39.9215,[0000238] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,801,49,8995395,0,0,,,,,,,,,,,,,,,,,,,,,
69,03/06/2017 01:27:39.9285,[130:016] MOTOR_WRITE mcb=%1 mot=1 addr=0x1,402,17,0,57,59,0,0,0,1,1026,3,802,49,8995397,0,0,,,,,,,,,,,,,,,,,,,,,
70,03/06/2017 01:27:39.9345,[0000239] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,803,49,8995403,0,0,,,,,,,,,,,,,,,,,,,,,
71,03/06/2017 01:27:39.9425,[130:017] MOTOR_WRITE mcb=%1 mot=1 addr=0x1,402,17,0,57,59,0,0,0,1,1026,3,804,49,8995404,0,0,,,,,,,,,,,,,,,,,,,,,
72,03/06/2017 01:27:39.9515,[0000240] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,805,49,8995410,0,0,,,,,,,,,,,,,,,,,,,,,
73,03/06/2017 01:27:39.9625,[130:018] MOTOR_READ mcb=%1 mot=1 addr=0x0E,402,17,0,57,59,0,0,0,1,1026,3,806,49,8995411,0,0,,,,,,,,,,,,,,,,,,,,,
74,03/06/2017 01:27:39.9725,[0000241] cmd:success [0x00000028],402,17,0,57,59,0,0,0,1,1026,3,807,49,8995467,0,0,,,,,,,,,,,,,,,,,,,,,
75,03/06/2017 01:27:40.9826,[130:019] MOTOR_READ mcb=%1 mot=1 addr=0x0F,402,17,0,57,59,0,0,0,1,1026,3,808,49,8995467,0,0,,,,,,,,,,,,,,,,,,,,,
76,03/06/2017 01:27:40.9916,[0000242] cmd:success [0x00000009],402,17,0,57,59,0,0,0,1,1026,3,809,49,8995523,0,0,,,,,,,,,,,,,,,,,,,,,
77,03/06/2017 01:27:41.0006,[130:020] MOTOR_READ mcb=%1 mot=1 addr=0x10,402,17,0,57,59,0,0,0,1,1026,3,810,49,8995524,0,0,,,,,,,,,,,,,,,,,,,,,
78,03/06/2017 01:27:41.0106,[0000243] cmd:success [0x00000029],402,17,0,57,59,0,0,0,1,1026,3,811,49,8995580,0,0,,,,,,,,,,,,,,,,,,,,,
79,03/06/2017 01:27:41.0196,[130:021] MOTOR_READ mcb=%1 mot=1 addr=0x13,402,17,0,57,59,0,0,0,1,1026,3,812,49,8995581,0,0,,,,,,,,,,,,,,,,,,,,,
80,03/06/2017 01:27:41.0287,[0000244] cmd:success [0x00000014],402,17,0,57,59,0,0,0,1,1026,3,813,49,8995636,0,0,,,,,,,,,,,,,,,,,,,,,
81,03/06/2017 01:27:41.0377,[130:022] MOTOR_READ mcb=%1 mot=1 addr=0x18,402,17,0,57,59,0,0,0,1,1026,3,814,49,8995637,0,0,,,,,,,,,,,,,,,,,,,,,
82,03/06/2017 01:27:41.0477,[0000245] cmd:success [0x00000068],402,17,0,57,59,0,0,0,1,1026,3,815,49,8995693,0,0,,,,,,,,,,,,,,,,,,,,,
83,03/06/2017 01:27:41.0567,[130:023] MOTOR_READ mcb=%1 mot=1 addr=0x19,402,17,0,57,59,0,0,0,1,1026,3,816,49,8995694,0,0,,,,,,,,,,,,,,,,,,,,,
84,03/06/2017 01:27:41.0657,[0000246] cmd:success [0x00000000],402,17,0,57,59,0,0,0,1,1026,3,817,49,8995750,0,0,,,,,,,,,,,,,,,,,,,,,
85,03/06/2017 01:27:41.0757,[130:024] SEQ_REG_SET reg=31 val=0x0,402,17,0,57,59,0,0,0,1,1026,3,818,49,8995750,0,0,,,,,,,,,,,,,,,,,,,,,
86,03/06/2017 01:27:42.0868,[130:025] SEQ_REG_SET reg=32 val=0x10,402,17,0,57,59,0,0,0,1,1026,3,819,49,8995773,0,0,,,,,,,,,,,,,,,,,,,,,
87,03/06/2017 01:27:42.0958,TaskStop  seqTask_130 [uid=1361810275],402,17,0,57,59,0,0,0,1,1026,3,820,49,8995775,0,0,,,,,,,,,,,,,,,,,,,,,
88,03/06/2017 01:29:46.0752,,402,17,0,57,59,0,0,0,1,1025,3,54,49,9123377,0,0,54.0,1172863780.0,27.0,105.0,61.0,5001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5001.0
89,03/06/2017 01:29:46.0842,[1553   ] EPC_USER_METADATA val=5001,402,17,0,57,59,0,0,0,1,1026,3,821,49,9123292,0,0,,,,,,,,,,,,,,,,,,,,,
90,03/06/2017 01:29:46.0952,[1553   ] EPC_USER_METADATA val=5001,402,17,0,57,59,0,0,0,1,1026,3,821,49,9123292,0,0,,,,,,,,,,,,,,,,,,,,,
91,03/06/2017 01:29:46.9042,[0000247] cmd:success [0x00001389],402,17,0,57,59,0,0,0,1,1026,3,822,49,9123293,0,0,,,,,,,,,,,,,,,,,,,,,
92,03/06/2017 01:30:15.9841,,402,17,0,58,59,0,0,0,1,1025,3,55,49,9152678,0,0,55.0,1172863809.0,85.0,105.0,42.0,1.0,1.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93,03/06/2017 01:30:15.9941,[1553   ] MOTOR_PROFILE_AMP mcb=1 mot=1 n=0,402,17,0,58,59,0,0,0,1,1026,3,823,49,9152593,0,0,,,,,,,,,,,,,,,,,,,,,
94,03/06/2017 01:30:16.0031,[0000248] cmd:success [0x00000001],402,17,0,58,59,0,0,0,1,1026,3,824,49,9152602,0,0,,,,,,,,,,,,,,,,,,,,,
95,03/06/2017 01:31:22.1128,,402,17,0,58,59,0,0,0,1,1025,3,56,49,9218881,0,0,56.0,1172863875.0,141.0,105.0,43.0,1.0,1.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,03/06/2017 01:31:22.1218,[1553   ] MOTOR_PROFILE_FREQ mcb=1 mot=1 n=,402,17,0,58,59,0,0,0,1,1026,3,825,49,9218795,0,0,,,,,,,,,,,,,,,,,,,,,
97,03/06/2017 01:31:22.1308,[0000249] cmd:success [0x00000001],402,17,0,58,59,0,0,0,1,1026,3,826,49,9218805,0,0,,,,,,,,,,,,,,,,,,,,,
98,03/06/2017 01:33:40.9666,,402,17,0,58,59,0,0,0,1,1025,3,57,49,9357986,0,0,57.0,1172864014.0,193.0,105.0,45.0,1.0,1.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99,03/06/2017 01:33:40.9766,[1553   ] MOTOR_PROFILE_SWEEP mcb=1 mot=1 n,402,17,0,58,59,0,0,0,1,1026,3,827,49,9357900,0,0,,,,,,,,,,,,,,,,,,,,,
100,03/06/2017 01:33:40.9856,[0000250] cmd:success [0x00000001],402,17,0,58,59,0,0,0,1,1026,3,828,49,9357908,0,0,,,,,,,,,,,,,,,,,,,,,
