,datetime,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,command_count,last_command_mss_coarse_time,last_command_mss_fine_time,word__spare,last_command_opcode,last_command_parameter_1,last_command_parameter_2,last_command_parameter_3,last_command_parameter_4,last_command_parameter_5,last_command_parameter_6,word_23_spare,word_24_spare,word_25_spare,word_26_spare,word_27_spare,word_28_spare,word_29_spare,word_30_spare,command_response_high_word,command_response_low_word
0,03/06/2017 10:41:42.4684,402,1,0,53,41,0,0,0,1,1025,3,1,49,4515160,0,0,1,1172853695,7,105,8,150,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,150
1,03/06/2017 10:46:53.3184,402,1,0,53,41,0,0,0,1,1025,3,2,49,4825471,0,0,2,1172854005,92,105,8,151,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,151
2,03/06/2017 10:48:35.4351,402,1,0,53,41,0,0,0,1,1025,3,3,49,4927774,0,0,3,1172854107,147,105,8,152,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,152
3,03/06/2017 10:49:19.2845,402,1,0,53,41,0,0,0,1,1025,3,4,49,4971876,0,0,4,1172854151,193,105,8,153,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,153
4,03/06/2017 10:50:25.4431,402,1,0,53,41,0,0,0,1,1025,3,5,49,5038179,0,0,5,1172854218,9,105,8,154,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,154
5,03/06/2017 10:51:16.3322,402,1,0,53,41,0,0,0,1,1025,3,6,49,5088380,0,0,6,1172854268,70,105,8,155,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,155
6,03/06/2017 10:53:24.4140,402,1,0,53,41,0,0,0,1,1025,3,7,49,5217085,0,0,7,1172854396,254,105,61,8000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8000
7,03/06/2017 10:54:11.3747,402,1,0,53,41,0,0,0,1,1025,3,8,49,5263386,0,0,8,1172854443,68,105,8,150,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,150
8,03/06/2017 10:54:46.3162,402,1,0,53,41,0,0,0,1,1025,3,9,49,5298688,0,0,9,1172854478,132,105,8,152,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,152
9,03/06/2017 10:55:22.3908,402,1,0,53,41,0,0,0,1,1025,3,10,49,5334789,0,0,10,1172854514,180,105,62,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
10,03/06/2017 10:55:45.3741,402,1,0,53,41,0,0,0,1,1025,3,11,49,5357990,0,0,11,1172854537,238,105,8,140,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,140
11,03/06/2017 11:00:40.4206,402,1,0,53,59,0,0,0,1,1025,3,1,49,177662,0,0,1,1172854833,55,105,61,8000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8000
12,03/06/2017 11:02:47.3943,402,1,0,53,59,0,0,0,1,1025,3,2,49,303967,0,0,2,1172854959,123,105,8,150,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,150
13,03/06/2017 11:03:11.4117,402,1,0,53,59,0,0,0,1,1025,3,3,49,328067,0,0,3,1172854983,173,105,8,152,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,152
14,03/06/2017 11:03:36.3112,402,1,0,53,59,0,0,0,1,1025,3,4,49,353268,0,0,4,1172855008,223,105,62,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
15,03/06/2017 11:03:55.4501,402,1,0,53,59,0,0,0,1,1025,3,5,49,372569,0,0,5,1172855028,23,105,8,140,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,140
16,03/06/2017 11:03:55.4601,402,1,0,53,59,0,0,0,1,1025,3,5,49,372569,0,0,5,1172855028,23,105,8,140,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,140
17,03/06/2017 11:06:15.2978,402,1,0,53,59,0,0,0,1,1025,3,6,49,511874,0,0,6,1172855167,98,105,62,93,10000,0,0,0,0.0,0,0,0,0,0,0,0,0,0,10000
18,03/06/2017 11:07:13.3518,402,1,0,53,59,0,0,0,1,1025,3,7,49,570176,0,0,7,1172855225,166,105,8,193,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,193
19,03/06/2017 11:07:42.2878,402,1,0,53,59,0,0,0,1,1025,3,8,49,599277,0,0,8,1172855254,201,105,61,8100,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8100
20,03/06/2017 11:08:13.4318,402,1,0,53,59,0,0,0,1,1025,3,9,49,630478,0,0,9,1172855286,3,105,63,41,0,0,0,0,0.0,0,0,0,0,0,0,0,0,15,16960
21,03/06/2017 11:09:16.2748,402,1,0,54,59,0,0,0,1,1025,3,10,49,692781,0,0,10,1172855348,64,105,8,141,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,141
22,03/06/2017 11:14:45.3748,402,1,0,54,59,0,0,0,1,1025,3,11,49,1022092,0,0,11,1172855677,145,105,61,8101,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8101
23,03/06/2017 11:15:04.2808,402,1,0,54,59,0,0,0,1,1025,3,12,49,1041293,0,0,12,1172855696,195,105,63,41,0,0,0,0,0.0,0,0,0,0,0,0,0,0,15,16960
24,03/06/2017 11:15:28.3678,402,1,0,54,59,0,0,0,1,1025,3,13,49,1065394,0,0,13,1172855720,237,105,8,141,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,141
25,03/06/2017 11:18:00.3788,402,1,0,54,59,0,0,0,1,1025,3,14,49,1217599,0,0,14,1172855873,35,105,61,8102,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8102
26,03/06/2017 11:18:00.3888,402,1,0,54,59,0,0,0,1,1025,3,14,49,1217599,0,0,14,1172855873,35,105,61,8102,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8102
27,03/06/2017 11:18:20.3368,402,1,0,54,59,0,0,0,1,1025,3,15,49,1236800,0,0,15,1172855892,91,105,63,41,0,0,0,0,0.0,0,0,0,0,0,0,0,0,15,16960
28,03/06/2017 11:18:39.3378,402,1,0,55,59,0,0,0,1,1025,3,16,49,1256001,0,0,16,1172855911,132,105,8,141,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,141
29,03/06/2017 11:21:11.2427,402,1,0,55,59,0,0,0,1,1025,3,17,49,1408306,0,0,17,1172856063,220,105,61,8103,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8103
30,03/06/2017 11:21:30.3926,402,1,0,55,59,0,0,0,1,1025,3,18,49,1427507,0,0,18,1172856083,18,105,63,41,0,0,0,0,0.0,0,0,0,0,0,0,0,0,15,16960
31,03/06/2017 11:27:23.1649,402,1,0,55,59,0,0,0,1,1025,3,19,49,1779719,0,0,19,1172856435,76,105,8,141,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,141
32,03/06/2017 11:29:53.3079,402,1,0,56,59,0,0,0,1,1025,3,20,49,1930025,0,0,20,1172856585,146,105,61,8104,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8104
33,03/06/2017 11:30:13.3159,402,1,0,56,59,0,0,0,1,1025,3,21,49,1950225,0,0,21,1172856605,191,105,63,41,0,0,0,0,0.0,0,0,0,0,0,0,0,0,15,16960
34,03/06/2017 11:30:35.3651,402,1,0,56,59,0,0,0,1,1025,3,22,49,1972526,0,0,22,1172856628,2,105,8,141,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,141
35,03/06/2017 11:30:35.3751,402,1,0,56,59,0,0,0,1,1025,3,22,49,1972526,0,0,22,1172856628,2,105,8,141,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,141
36,03/06/2017 11:30:35.3841,402,1,0,56,59,0,0,0,1,1025,3,22,49,1972526,0,0,22,1172856628,2,105,8,141,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,141
37,03/06/2017 11:33:17.2963,402,1,0,56,59,0,0,0,1,1025,3,23,49,2134632,0,0,23,1172856790,45,105,61,8104,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8104
38,03/06/2017 11:35:22.2858,402,1,0,56,59,0,0,0,1,1025,3,24,49,2259136,0,0,24,1172856914,159,105,61,8105,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8105
39,03/06/2017 11:36:40.2226,402,1,0,56,59,0,0,0,1,1025,3,25,49,2337239,0,0,25,1172856992,203,105,63,41,0,0,0,0,0.0,0,0,0,0,0,0,0,0,15,16960
40,03/06/2017 11:37:09.2345,402,1,0,56,59,0,0,0,1,1025,3,26,49,2366540,0,0,26,1172857022,13,105,8,141,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,141
41,03/06/2017 11:40:17.1586,402,1,0,57,59,0,0,0,1,1025,3,27,49,2553746,0,0,27,1172857209,68,105,61,8106,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8106
42,03/06/2017 11:40:43.1656,402,1,0,57,59,0,0,0,1,1025,3,28,49,2579947,0,0,28,1172857235,120,105,63,41,0,0,0,0,0.0,0,0,0,0,0,0,0,0,15,16960
43,03/06/2017 11:41:08.2486,402,1,0,57,59,0,0,0,1,1025,3,29,49,2605048,0,0,29,1172857260,170,105,8,141,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,141
44,03/06/2017 11:43:56.3236,402,1,0,57,59,0,0,0,1,1025,3,30,49,2773454,0,0,30,1172857429,4,105,8,154,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,154
45,03/06/2017 11:44:19.3136,402,1,0,57,59,0,0,0,1,1025,3,31,49,2796655,0,0,31,1172857452,42,105,62,42,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,5
46,03/06/2017 11:44:53.1576,402,1,0,57,59,0,0,0,1,1025,3,32,49,2829756,0,0,32,1172857485,72,105,61,8200,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8200
47,03/06/2017 11:45:12.2306,402,1,0,57,59,0,0,0,1,1025,3,33,49,2848957,0,0,33,1172857504,138,105,62,41,50000,0,0,0,0.0,0,0,0,0,0,0,0,0,0,50000
48,03/06/2017 11:46:10.2626,402,1,0,57,59,0,0,0,1,1025,3,34,49,2907159,0,0,34,1172857562,191,105,8,141,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,141
49,03/06/2017 11:48:19.2716,402,1,0,57,59,0,0,0,1,1025,3,35,49,3036364,0,0,35,1172857691,240,105,61,8300,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8300
50,03/06/2017 11:48:46.2642,402,1,0,57,59,0,0,0,1,1025,3,36,49,3063564,0,0,36,1172857719,44,105,62,41,25000,0,0,0,0.0,0,0,0,0,0,0,0,0,0,25000
51,03/06/2017 11:48:46.2732,402,1,0,57,59,0,0,0,1,1025,3,36,49,3063564,0,0,36,1172857719,44,105,62,41,25000,0,0,0,0.0,0,0,0,0,0,0,0,0,0,25000
52,03/06/2017 11:49:12.2748,402,1,0,57,59,0,0,0,1,1025,3,37,49,3088865,0,0,37,1172857744,95,105,8,141,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,141
53,03/06/2017 11:54:05.2011,402,1,0,57,59,0,0,0,1,1025,3,38,49,3381976,0,0,38,1172858037,143,105,61,8301,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8301
54,03/06/2017 11:54:40.1726,402,1,0,57,59,0,0,0,1,1025,3,39,49,3417477,0,0,39,1172858073,4,105,62,41,25000,0,0,0,0.0,0,0,0,0,0,0,0,0,0,25000
55,03/06/2017 11:55:08.2704,402,1,0,57,59,0,0,0,1,1025,3,40,49,3444678,0,0,40,1172858100,59,105,8,141,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,141
56,03/06/2017 11:58:59.1470,402,1,0,57,59,0,0,0,1,1025,3,41,49,3675886,0,0,41,1172858331,104,105,61,8400,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8400
57,03/06/2017 11:59:25.2790,402,1,0,57,59,0,0,0,1,1025,3,42,49,3702187,0,0,42,1172858357,180,105,62,41,50000,0,0,0,0.0,0,0,0,0,0,0,0,0,0,50000
58,03/06/2017 12:00:18.2840,402,1,0,57,59,0,0,0,1,1025,3,43,49,3755389,0,0,43,1172858410,239,105,8,142,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,142
59,03/06/2017 12:01:46.2592,402,1,0,57,59,0,0,0,1,1025,3,44,49,3842692,0,0,44,1172858498,41,105,8,152,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,152
60,03/06/2017 12:02:13.2109,402,1,0,57,59,0,0,0,1,1025,3,45,49,3869793,0,0,45,1172858525,101,105,8,153,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,153
61,03/06/2017 12:02:34.3030,402,1,0,57,59,0,0,0,1,1025,3,46,49,3891093,0,0,46,1172858546,165,105,8,149,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,149
62,03/06/2017 12:03:12.2318,402,1,0,57,59,0,0,0,1,1025,3,47,49,3929295,0,0,47,1172858584,214,105,8,155,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,155
63,03/06/2017 01:24:02.0558,402,17,0,57,59,0,0,0,1,1025,3,48,49,8779165,0,0,48,1172863435,204,105,13,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
64,03/06/2017 01:24:35.1691,402,17,0,57,59,0,0,0,1,1025,3,49,49,8812467,0,0,49,1172863469,18,105,8,150,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,150
65,03/06/2017 01:24:35.1791,402,17,0,57,59,0,0,0,1,1025,3,49,49,8812467,0,0,49,1172863469,18,105,8,150,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,150
66,03/06/2017 01:25:08.0254,402,17,0,57,59,0,0,0,1,1025,3,50,49,8844668,0,0,50,1172863501,65,105,8,154,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,154
67,03/06/2017 01:25:31.1107,402,17,0,57,59,0,0,0,1,1025,3,51,49,8867768,0,0,51,1172863524,120,105,61,5000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,5000
68,03/06/2017 01:27:03.0569,402,17,0,57,59,0,0,0,1,1025,3,52,49,8960072,0,0,52,1172863616,184,105,62,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
69,03/06/2017 01:27:35.0661,402,17,0,57,59,0,0,0,1,1025,3,53,49,8992373,0,0,53,1172863649,3,105,8,130,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,130
70,03/06/2017 01:29:46.0752,402,17,0,57,59,0,0,0,1,1025,3,54,49,9123377,0,0,54,1172863780,27,105,61,5001,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,5001
71,03/06/2017 01:30:15.9841,402,17,0,58,59,0,0,0,1,1025,3,55,49,9152678,0,0,55,1172863809,85,105,42,1,1,0,200,200,0.0,0,0,0,0,0,0,0,0,0,1
72,03/06/2017 01:31:22.1128,402,17,0,58,59,0,0,0,1,1025,3,56,49,9218881,0,0,56,1172863875,141,105,43,1,1,0,0,200,0.0,0,0,0,0,0,0,0,0,0,1
73,03/06/2017 01:33:40.9666,402,17,0,58,59,0,0,0,1,1025,3,57,49,9357986,0,0,57,1172864014,193,105,45,1,1,0,300,0,0.0,0,0,0,0,0,0,0,0,0,1
74,03/06/2017 01:34:46.1572,402,17,0,58,59,0,0,0,1,1025,3,58,49,9423388,0,0,58,1172864080,12,105,8,151,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,151
75,03/06/2017 01:35:28.1134,402,17,0,58,59,0,0,0,1,1025,3,59,49,9465489,0,0,59,1172864122,47,105,14,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
76,03/06/2017 01:35:28.1264,402,17,0,58,59,0,0,0,1,1025,3,59,49,9465489,0,0,59,1172864122,47,105,14,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
77,03/06/2017 01:39:04.0773,402,17,0,58,59,0,0,0,1,1025,3,60,49,9680697,0,0,60,1172864337,109,105,18,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
78,03/06/2017 01:40:35.0123,402,17,0,58,59,0,0,0,1,1025,3,61,49,9772000,0,0,61,1172864428,157,105,46,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
79,03/06/2017 01:49:13.1053,402,17,0,59,59,0,0,0,1,1025,3,62,49,10290518,0,0,62,1172864947,27,105,19,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
80,03/06/2017 01:50:07.8943,402,17,0,59,59,0,0,0,1,1025,3,63,49,10344920,0,0,63,1172865001,158,105,8,139,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,139
81,03/06/2017 01:56:14.0375,402,17,0,58,60,0,0,0,1,1025,3,1,49,266971,0,0,1,1172865367,235,105,13,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
82,03/06/2017 01:56:32.0203,402,17,0,58,60,0,0,0,1,1025,3,2,49,284671,0,0,2,1172865385,168,105,8,150,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,150
83,03/06/2017 01:56:48.9110,402,17,0,58,60,0,0,0,1,1025,3,3,49,301972,0,0,3,1172865402,249,105,8,154,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,154
84,03/06/2017 01:57:35.9937,402,17,0,58,60,0,0,0,1,1025,3,4,49,348274,0,0,4,1172865449,28,105,61,5000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,5000
85,03/06/2017 01:57:58.8760,402,17,0,58,60,0,0,0,1,1025,3,5,49,371374,0,0,5,1172865472,83,105,62,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
86,03/06/2017 01:58:32.8664,402,17,0,58,60,0,0,0,1,1025,3,6,49,405676,0,0,6,1172865506,150,105,8,130,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,130
87,03/06/2017 02:01:42.9524,402,17,0,58,60,0,0,0,1,1025,3,7,49,595882,0,0,7,1172865696,199,105,61,5002,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,5002
88,03/06/2017 02:02:41.0202,402,17,0,58,60,0,0,0,1,1025,3,8,49,653584,0,0,8,1172865754,119,105,42,1,1,0,200,200,0.0,0,0,0,0,0,0,0,0,0,1
89,03/06/2017 02:03:46.8858,402,17,0,58,60,0,0,0,1,1025,3,9,49,719487,0,0,9,1172865820,95,105,43,1,1,0,0,2000,0.0,0,0,0,0,0,0,0,0,0,1
90,03/06/2017 02:04:46.9618,402,17,0,58,60,0,0,0,1,1025,3,10,49,779989,0,0,10,1172865880,239,105,45,1,1,0,300,0,0.0,0,0,0,0,0,0,0,0,0,1
91,03/06/2017 02:05:38.8570,402,17,0,58,60,0,0,0,1,1025,3,11,49,831491,0,0,11,1172865932,118,105,8,151,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,151
92,03/06/2017 02:06:04.8516,402,17,0,58,60,0,0,0,1,1025,3,12,49,857691,0,0,12,1172865958,165,105,14,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
93,03/06/2017 02:06:36.0527,402,17,0,58,60,0,0,0,1,1025,3,13,49,888993,0,0,13,1172865989,230,105,18,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
94,03/06/2017 02:07:43.0754,402,17,0,58,60,0,0,0,1,1025,3,14,49,956195,0,0,14,1172866057,45,105,46,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
95,03/06/2017 02:14:34.9043,402,17,0,60,60,0,0,0,1,1025,3,15,49,1367309,0,0,15,1172866468,92,105,19,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
96,03/06/2017 02:15:57.8473,402,17,0,60,60,0,0,0,1,1025,3,16,49,1450613,0,0,16,1172866551,135,105,8,139,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,139
97,03/06/2017 02:16:46.8793,402,17,0,60,60,0,0,0,1,1025,3,17,49,1499714,0,0,17,1172866600,192,105,8,155,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,155
98,03/06/2017 02:25:09.7943,402,17,0,59,60,0,0,0,1,1025,3,18,49,2002532,0,0,18,1172867103,130,105,13,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
99,03/06/2017 02:25:51.8003,402,17,0,59,60,0,0,0,1,1025,3,19,49,2044733,0,0,19,1172867145,202,105,14,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
100,03/06/2017 02:26:15.9693,402,17,0,59,60,0,0,0,1,1025,3,20,49,2069134,0,0,20,1172867170,3,105,61,6000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,6000
101,03/06/2017 02:26:15.9793,402,17,0,59,60,0,0,0,1,1025,3,20,49,2069134,0,0,20,1172867170,3,105,61,6000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,6000
102,03/06/2017 02:26:37.9073,402,17,0,59,60,0,0,0,1,1025,3,21,49,2090635,0,0,21,1172867191,163,105,18,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
103,03/06/2017 02:28:21.9133,402,17,0,59,60,0,0,0,1,1025,3,22,49,2194538,0,0,22,1172867295,121,105,19,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
104,03/06/2017 02:31:36.8337,402,17,0,59,60,0,0,0,1,1025,3,23,49,2389845,0,0,23,1172867490,200,105,17,1,1,8,0,0,0.0,0,0,0,0,0,0,0,0,0,1
105,03/06/2017 02:37:31.9505,402,17,0,58,60,0,0,0,1,1025,3,24,49,2744357,0,0,24,1172867845,73,105,17,1,1,6,0,0,0.0,0,0,0,0,0,0,0,0,0,1
106,03/06/2017 02:38:42.8736,402,17,0,58,60,0,0,0,1,1025,3,25,49,2815660,0,0,25,1172867916,161,105,17,1,1,7,0,0,0.0,0,0,0,0,0,0,0,0,0,1
107,03/06/2017 02:42:16.9320,402,17,0,58,60,0,0,0,1,1025,3,26,49,3029967,0,0,26,1172868130,224,105,18,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
108,03/06/2017 02:43:26.9740,402,17,0,58,60,0,0,0,1,1025,3,27,49,3099770,0,0,27,1172868200,201,105,19,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
109,03/06/2017 02:44:05.9569,402,17,0,58,60,0,0,0,1,1025,3,28,49,3139171,0,0,28,1172868240,36,105,17,1,1,9,0,0,0.0,0,0,0,0,0,0,0,0,0,1
110,03/06/2017 02:45:47.9901,402,1,0,58,60,0,0,0,1,1025,3,29,49,3240675,0,0,29,1172868341,161,105,13,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
111,03/06/2017 02:47:01.9927,402,1,0,58,60,0,0,0,1,1025,3,30,49,3314878,0,0,30,1172868415,219,105,52,15,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
112,03/06/2017 02:49:18.8827,402,1,0,58,60,0,0,0,1,1025,3,31,49,3452182,0,0,31,1172868553,45,105,61,7000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,7000
113,03/06/2017 02:52:33.8587,402,1,0,58,60,0,0,0,1,1025,3,32,49,3646389,0,0,32,1172868747,90,105,47,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
114,03/06/2017 02:54:13.8937,402,1,0,58,60,0,0,0,1,1025,3,33,49,3746593,0,0,33,1172868846,148,105,48,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
115,03/06/2017 02:54:56.8917,402,1,0,58,60,0,0,0,1,1025,3,34,49,3789794,0,0,34,1172868890,206,105,47,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
116,03/06/2017 02:55:51.8967,402,1,0,58,60,0,0,0,1,1025,3,35,49,3845096,0,0,35,1172868945,24,105,48,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
117,03/06/2017 02:55:51.9067,402,1,0,58,60,0,0,0,1,1025,3,35,49,3845096,0,0,35,1172868945,24,105,48,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
