,datetime,ascii_data,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,ascii_data
31,03/06/2017 01:24:36.9402,[150:006] IVB_CAMERA_ON ivb=1 cam=4,402,17,0,57,59,0,0,0,1,1026,3,757,49,8813902,0,0,[150:006] IVB_CAMERA_ON ivb=1 cam=4
32,03/06/2017 01:24:36.9472,[0000221] cmd:success [0x0000002f],402,17,0,57,59,0,0,0,1,1026,3,758,49,8813906,0,0,[0000221] cmd:success [0x0000002f]
33,03/06/2017 01:24:36.9472,[0000221] cmd:success [0x0000002f],402,17,0,57,59,0,0,0,1,1026,3,758,49,8813906,0,0,[0000221] cmd:success [0x0000002f]
34,03/06/2017 01:24:36.9562,[150:007] SEQ_SLEEP dtms=500,402,17,0,57,59,0,0,0,1,1026,3,759,49,8813907,0,0,[150:007] SEQ_SLEEP dtms=500
35,03/06/2017 01:24:36.9562,[150:007] SEQ_SLEEP dtms=500,402,17,0,57,59,0,0,0,1,1026,3,759,49,8813907,0,0,[150:007] SEQ_SLEEP dtms=500
36,03/06/2017 01:24:36.9842,TaskStop  seqTask_150 [uid=1361810275],402,17,0,57,59,0,0,0,1,1026,3,760,49,8814408,0,0,TaskStop  seqTask_150 [uid=1361810275]
37,03/06/2017 01:24:36.9842,TaskStop  seqTask_150 [uid=1361810275],402,17,0,57,59,0,0,0,1,1026,3,760,49,8814408,0,0,TaskStop  seqTask_150 [uid=1361810275]
38,03/06/2017 01:25:08.0344,[1553   ] SEQ_RUN seq=154,402,17,0,57,59,0,0,0,1,1026,3,761,49,8844582,0,0,[1553   ] SEQ_RUN seq=154
39,03/06/2017 01:25:08.0344,[1553   ] SEQ_RUN seq=154,402,17,0,57,59,0,0,0,1,1026,3,761,49,8844582,0,0,[1553   ] SEQ_RUN seq=154
40,03/06/2017 01:25:08.0444,TaskRun   seqTask_154 [uid=1361826659],402,17,0,57,59,0,0,0,1,1026,3,762,49,8844584,0,0,TaskRun   seqTask_154 [uid=1361826659]
41,03/06/2017 01:25:08.0444,TaskRun   seqTask_154 [uid=1361826659],402,17,0,57,59,0,0,0,1,1026,3,762,49,8844584,0,0,TaskRun   seqTask_154 [uid=1361826659]
42,03/06/2017 01:25:08.0534,[0000222] cmd:success [0x0000009a],402,17,0,57,59,0,0,0,1,1026,3,763,49,8844585,0,0,[0000222] cmd:success [0x0000009a]
43,03/06/2017 01:25:08.0534,[0000222] cmd:success [0x0000009a],402,17,0,57,59,0,0,0,1,1026,3,763,49,8844585,0,0,[0000222] cmd:success [0x0000009a]
44,03/06/2017 01:25:08.0614,[154:000] IVB_VIDEO_OUTPUT ivb=1 cam=4,402,17,0,57,59,0,0,0,1,1026,3,764,49,8844589,0,0,[154:000] IVB_VIDEO_OUTPUT ivb=1 cam=4
45,03/06/2017 01:25:08.0614,[154:000] IVB_VIDEO_OUTPUT ivb=1 cam=4,402,17,0,57,59,0,0,0,1,1026,3,764,49,8844589,0,0,[154:000] IVB_VIDEO_OUTPUT ivb=1 cam=4
46,03/06/2017 01:25:08.0714,TaskStop  seqTask_154 [uid=1361826659],402,17,0,57,59,0,0,0,1,1026,3,766,49,8844598,0,0,TaskStop  seqTask_154 [uid=1361826659]
47,03/06/2017 01:25:08.0714,TaskStop  seqTask_154 [uid=1361826659],402,17,0,57,59,0,0,0,1,1026,3,766,49,8844598,0,0,TaskStop  seqTask_154 [uid=1361826659]
48,03/06/2017 01:25:31.1197,[1553   ] EPC_USER_METADATA val=5000,402,17,0,57,59,0,0,0,1,1026,3,767,49,8867683,0,0,[1553   ] EPC_USER_METADATA val=5000
49,03/06/2017 01:25:31.1197,[1553   ] EPC_USER_METADATA val=5000,402,17,0,57,59,0,0,0,1,1026,3,767,49,8867683,0,0,[1553   ] EPC_USER_METADATA val=5000
50,03/06/2017 01:25:31.1287,[0000224] cmd:success [0x00001388],402,17,0,57,59,0,0,0,1,1026,3,768,49,8867684,0,0,[0000224] cmd:success [0x00001388]
51,03/06/2017 01:25:31.1287,[0000224] cmd:success [0x00001388],402,17,0,57,59,0,0,0,1,1026,3,768,49,8867684,0,0,[0000224] cmd:success [0x00001388]
52,03/06/2017 01:27:03.0669,[1553   ] SEQ_REG_SET reg=1 val=1,402,17,0,57,59,0,0,0,1,1026,3,769,49,8959986,0,0,[1553   ] SEQ_REG_SET reg=1 val=1
53,03/06/2017 01:27:03.0669,[1553   ] SEQ_REG_SET reg=1 val=1,402,17,0,57,59,0,0,0,1,1026,3,769,49,8959986,0,0,[1553   ] SEQ_REG_SET reg=1 val=1
54,03/06/2017 01:27:03.0759,[0000225] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,770,49,8960006,0,0,[0000225] cmd:success [0x00000001]
55,03/06/2017 01:27:03.0759,[0000225] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,770,49,8960006,0,0,[0000225] cmd:success [0x00000001]
56,03/06/2017 01:27:35.0761,[1553   ] SEQ_RUN seq=130,402,17,0,57,59,0,0,0,1,1026,3,771,49,8992287,0,0,[1553   ] SEQ_RUN seq=130
57,03/06/2017 01:27:35.0761,[1553   ] SEQ_RUN seq=130,402,17,0,57,59,0,0,0,1,1026,3,771,49,8992287,0,0,[1553   ] SEQ_RUN seq=130
58,03/06/2017 01:27:35.0841,TaskRun   seqTask_130 [uid=1361810275],402,17,0,57,59,0,0,0,1,1026,3,772,49,8992289,0,0,TaskRun   seqTask_130 [uid=1361810275]
59,03/06/2017 01:27:35.0841,TaskRun   seqTask_130 [uid=1361810275],402,17,0,57,59,0,0,0,1,1026,3,772,49,8992289,0,0,TaskRun   seqTask_130 [uid=1361810275]
60,03/06/2017 01:27:35.0951,TaskRun   seqTask_130 [uid=1361810275],402,17,0,57,59,0,0,0,1,1026,3,772,49,8992289,0,0,TaskRun   seqTask_130 [uid=1361810275]
61,03/06/2017 01:27:35.0951,TaskRun   seqTask_130 [uid=1361810275],402,17,0,57,59,0,0,0,1,1026,3,772,49,8992289,0,0,TaskRun   seqTask_130 [uid=1361810275]
62,03/06/2017 01:27:35.9051,[0000226] cmd:success [0x00000082],402,17,0,57,59,0,0,0,1,1026,3,773,49,8992290,0,0,[0000226] cmd:success [0x00000082]
63,03/06/2017 01:27:35.9051,[0000226] cmd:success [0x00000082],402,17,0,57,59,0,0,0,1,1026,3,773,49,8992290,0,0,[0000226] cmd:success [0x00000082]
64,03/06/2017 01:27:35.9141,[130:000] PCU_ENABLE bus=2,402,17,0,57,59,0,0,0,1,1026,3,774,49,8992298,0,0,[130:000] PCU_ENABLE bus=2
65,03/06/2017 01:27:35.9141,[130:000] PCU_ENABLE bus=2,402,17,0,57,59,0,0,0,1,1026,3,774,49,8992298,0,0,[130:000] PCU_ENABLE bus=2
66,03/06/2017 01:27:35.9241,[0000227] cmd:success [0x00000002],402,17,0,57,59,0,0,0,1,1026,3,775,49,8992309,0,0,[0000227] cmd:success [0x00000002]
67,03/06/2017 01:27:35.9241,[0000227] cmd:success [0x00000002],402,17,0,57,59,0,0,0,1,1026,3,775,49,8992309,0,0,[0000227] cmd:success [0x00000002]
68,03/06/2017 01:27:35.9331,[130:001] SEQ_PAUSE dt=1,402,17,0,57,59,0,0,0,1,1026,3,776,49,8992310,0,0,[130:001] SEQ_PAUSE dt=1
69,03/06/2017 01:27:35.9331,[130:001] SEQ_PAUSE dt=1,402,17,0,57,59,0,0,0,1,1026,3,776,49,8992310,0,0,[130:001] SEQ_PAUSE dt=1
70,03/06/2017 01:27:35.9701,[130:002] PCU_SWITCH_ON bus=2 sw=%1 dt=0 te,402,17,0,57,59,0,0,0,1,1026,3,777,49,8993310,0,0,[130:002] PCU_SWITCH_ON bus=2 sw=%1 dt=0 te
71,03/06/2017 01:27:35.9701,[130:002] PCU_SWITCH_ON bus=2 sw=%1 dt=0 te,402,17,0,57,59,0,0,0,1,1026,3,777,49,8993310,0,0,[130:002] PCU_SWITCH_ON bus=2 sw=%1 dt=0 te
72,03/06/2017 01:27:35.9791,[0000228] cmd:success [0x00000002],402,17,0,57,59,0,0,0,1,1026,3,778,49,8993324,0,0,[0000228] cmd:success [0x00000002]
73,03/06/2017 01:27:35.9791,[0000228] cmd:success [0x00000002],402,17,0,57,59,0,0,0,1,1026,3,778,49,8993324,0,0,[0000228] cmd:success [0x00000002]
74,03/06/2017 01:27:35.9891,[0000228] cmd:success [0x00000002],402,17,0,57,59,0,0,0,1,1026,3,778,49,8993324,0,0,[0000228] cmd:success [0x00000002]
75,03/06/2017 01:27:35.9891,[0000228] cmd:success [0x00000002],402,17,0,57,59,0,0,0,1,1026,3,778,49,8993324,0,0,[0000228] cmd:success [0x00000002]
76,03/06/2017 01:27:35.9991,[130:003] SEQ_PAUSE dt=1,402,17,0,57,59,0,0,0,1,1026,3,779,49,8993324,0,0,[130:003] SEQ_PAUSE dt=1
77,03/06/2017 01:27:35.9991,[130:003] SEQ_PAUSE dt=1,402,17,0,57,59,0,0,0,1,1026,3,779,49,8993324,0,0,[130:003] SEQ_PAUSE dt=1
