,datetime,ascii_data,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,sample_count,packet_timetag_ms_in_week,user_metadata,cell_string_id,segment_count,iv_data_1_amp,iv_data_2_vdc,iv_data_3_amp,iv_data_4_vdc,iv_data_5_amp,iv_data_6_vdc,iv_data_7_amp,iv_data_8_vdc,iv_data_9_amp,iv_data_10_vdc,iv_data_11_amp,iv_data_12_vdc,iv_data_13_amp,iv_data_14_vdc,iv_data_15_amp,iv_data_16_vdc
173032,09/27/2016 05:48:55.3666,,402,1,0,57,48,0,0,0,1,1033,3,9725,49,15694123,0,0,1.0,15692538.0,0.0,1.0,6.0,0.115478515625,13.359375,0.116943359375,12.7265625,0.119750976562,12.609375,0.121459960938,12.265625,0.124755859375,11.609375,0.126220703125,10.359375,0.129272460938,9.5703125,0.131591796875,8.5390625
173033,09/27/2016 05:48:55.3756,,402,1,0,57,48,0,0,0,1,1033,3,9726,49,15694223,0,0,1.0,15692538.0,0.0,1.0,7.0,0.133422851562,7.73828125,0.1357421875,6.81640625,0.13818359375,5.1640625,0.140258789062,3.072265625,0.142944335938,2.3671875,0.145141601562,1.736328125,0.137451171875,0.6201171875,0.130737304688,0.5517578125
173034,09/27/2016 05:48:55.3856,,402,1,0,57,48,0,0,0,1,1033,3,9727,49,15694323,0,0,1.0,15692538.0,0.0,1.0,7.0,0.133422851562,7.73828125,0.1357421875,6.81640625,0.13818359375,5.1640625,0.140258789062,3.072265625,0.142944335938,2.3671875,0.145141601562,1.736328125,0.137451171875,0.6201171875,0.130737304688,0.5517578125
173035,09/27/2016 05:48:55.3946,,402,1,0,57,48,0,0,0,1,1033,3,9728,49,15694423,0,0,1.0,15692538.0,0.0,1.0,8.0,0.129028320312,0.5400390625,0.126953125,0.51611328125,0.120788574219,0.50390625,0.117797851562,0.491943359375,0.114868164062,0.464111328125,0.108459472656,0.451904296875,0.105102539062,0.444091796875,0.103576660156,0.419921875
173036,09/27/2016 05:48:55.4046,,402,1,0,57,48,0,0,0,1,1033,3,9729,49,15694523,0,0,1.0,15692538.0,0.0,1.0,9.0,0.0989990234375,0.407958984375,0.094970703125,0.404052734375,0.09228515625,0.39208984375,0.09228515625,0.3720703125,0.0891723632812,0.3798828125,0.0860595703125,0.360107421875,0.0858764648438,0.35205078125,0.0836791992188,0.347900390625
173037,09/27/2016 05:48:55.4146,,402,1,0,57,48,0,0,0,1,1033,3,9730,49,15694623,0,0,1.0,15692538.0,0.0,1.0,9.0,0.0989990234375,0.407958984375,0.094970703125,0.404052734375,0.09228515625,0.39208984375,0.09228515625,0.3720703125,0.0891723632812,0.3798828125,0.0860595703125,0.360107421875,0.0858764648438,0.35205078125,0.0836791992188,0.347900390625
173038,09/27/2016 05:48:55.4246,,402,1,0,57,48,0,0,0,1,1033,3,9731,49,15694723,0,0,1.0,15692538.0,0.0,1.0,10.0,0.080810546875,0.340087890625,0.080810546875,0.33203125,0.0797729492188,0.33203125,0.0775756835938,0.327880859375,0.078369140625,0.323974609375,0.0791015625,0.323974609375,0.0777587890625,0.323974609375,0.0791015625,0.33203125
173039,09/27/2016 05:48:55.4346,,402,1,0,57,48,0,0,0,1,1033,3,9732,49,15694823,0,0,1.0,15692538.0,0.0,1.0,10.0,0.080810546875,0.340087890625,0.080810546875,0.33203125,0.0797729492188,0.33203125,0.0775756835938,0.327880859375,0.078369140625,0.323974609375,0.0791015625,0.323974609375,0.0777587890625,0.323974609375,0.0791015625,0.33203125
173040,09/27/2016 05:48:55.4446,,402,1,0,57,48,0,0,0,1,1033,3,9732,49,15694823,0,0,1.0,15692538.0,0.0,1.0,10.0,0.080810546875,0.340087890625,0.080810546875,0.33203125,0.0797729492188,0.33203125,0.0775756835938,0.327880859375,0.078369140625,0.323974609375,0.0791015625,0.323974609375,0.0777587890625,0.323974609375,0.0791015625,0.33203125
173041,09/27/2016 05:48:55.4556,,402,1,0,57,48,0,0,0,1,1033,3,9733,49,15694923,0,0,1.0,15692538.0,0.0,1.0,11.0,0.0806884765625,0.327880859375,0.0797119140625,0.33203125,0.0806884765625,0.343994140625,0.0827026367188,0.3359375,0.081787109375,0.340087890625,0.0819702148438,0.347900390625,0.0838012695312,0.340087890625,0.082275390625,0.340087890625
