,datetime,ascii_data,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,damper_voltage_1,damper_voltage_2,word_13_spare,word_14_spare,word_15_spare,word_16_spare,temperature_1_left_damper,temperature_2_right_damper,temperature_3_center_mandrel,temperature_4_left_boom,temperature_5_right_boom,temperature_6_spm_1,temperature_7_spm_2,temperature_8_spm_3,temperature_9_spm_4,temperature_10_spm_5,temperature_11_spm_6,temperature_12_retraction_motor,temperature_13_spare,temperature_14_spare,temperature_15_spare,temperature_16_spare
20769,09/27/2016 02:01:23.9635,,402,1,0,52,48,0,0,0,1,1032,3,838,49,2042887,0,0,0.0709838867188,0.0659790039062,11210.0,11210.0,11210.0,11210.0,268.5,268.5,268.5,268.5,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.25,273.0,273.25,273.0
20770,09/27/2016 02:01:25.0076,,402,1,0,52,48,0,0,0,1,1032,3,839,49,2043387,0,0,0.0709838867188,0.0659790039062,11710.0,11710.0,11710.0,11710.0,268.5,268.5,268.5,268.5,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.25,273.0,273.25,273.0
20771,09/27/2016 02:01:25.0516,,402,1,0,52,48,0,0,0,1,1032,3,840,49,2043887,0,0,0.0709838867188,0.0659790039062,12210.0,12210.0,12210.0,12210.0,268.5,268.5,268.5,268.5,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.25,273.0,273.25,273.0
20772,09/27/2016 02:01:25.9167,,402,1,0,52,48,0,0,0,1,1032,3,841,49,2044387,0,0,0.0709838867188,0.0659790039062,12710.0,12710.0,12710.0,12710.0,268.5,268.5,268.25,268.5,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.0,273.0,273.0,273.25
20773,09/27/2016 02:01:25.9617,,402,1,0,52,48,0,0,0,1,1032,3,842,49,2044887,0,0,0.0709838867188,0.0662231445312,13210.0,13210.0,13210.0,13210.0,268.5,268.5,268.25,268.5,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.0,273.0,273.0,273.25
20774,09/27/2016 02:01:27.0168,,402,1,0,52,48,0,0,0,1,1032,3,843,49,2045387,0,0,0.0709838867188,0.0660400390625,13710.0,13710.0,13710.0,13710.0,268.5,268.5,268.25,268.5,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.0,273.0,273.0,273.25
20775,09/27/2016 02:01:27.0628,,402,1,0,52,48,0,0,0,1,1032,3,844,49,2045887,0,0,0.0709838867188,0.0659790039062,14210.0,14210.0,14210.0,14210.0,268.5,268.5,268.25,268.5,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.0,273.0,273.0,273.25
20776,09/27/2016 02:01:27.9199,,402,1,0,52,48,0,0,0,1,1032,3,845,49,2046387,0,0,0.0709838867188,0.0659790039062,14710.0,14710.0,14710.0,14710.0,268.5,268.5,268.25,268.5,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.0,273.0,273.0,273.25
20777,09/27/2016 02:01:27.9649,,402,1,0,52,48,0,0,0,1,1032,3,846,49,2046887,0,0,0.0709838867188,0.0659790039062,15210.0,15210.0,15210.0,15210.0,268.5,268.5,268.25,268.5,257.0,257.0,257.0,257.0,268.25,268.25,268.25,268.25,273.0,273.0,273.0,273.25
20778,09/27/2016 02:01:29.0180,,402,1,0,52,48,0,0,0,1,1032,3,847,49,2047387,0,0,0.0709838867188,0.0659790039062,15710.0,15710.0,15710.0,15710.0,-31.09375,268.5,268.5,268.5,257.0,257.0,257.0,257.0,268.0,268.25,268.0,268.25,273.0,273.0,273.0,273.0
