,datetime,ascii_data,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,command_count,last_command_mss_coarse_time,last_command_mss_fine_time,word__spare,last_command_opcode,last_command_parameter_1,last_command_parameter_2,last_command_parameter_3,last_command_parameter_4,last_command_parameter_5,last_command_parameter_6,word_23_spare,word_24_spare,word_25_spare,word_26_spare,word_27_spare,word_28_spare,word_29_spare,word_30_spare,command_response_high_word,command_response_low_word
0,09/27/2016 01:23:24.8810,starting [HLT] Health Monitor...,402,1,0,41,34,0,0,0,1,1026,3,0,49,6121,0,0,,,,,,,,,,,,,,,,,,,,,
1,09/27/2016 01:23:24.8890,starting [PCU] Power Conditioning Unit...,402,1,0,41,34,0,0,0,1,1026,3,1,49,6121,0,0,,,,,,,,,,,,,,,,,,,,,
2,09/27/2016 01:23:24.8980,starting [SEQ] Command Sequencer...,402,1,0,41,34,0,0,0,1,1026,3,2,49,6121,0,0,,,,,,,,,,,,,,,,,,,,,
3,09/27/2016 01:23:24.9070,starting [EPC] 1553 Comm Module...,402,1,0,41,34,0,0,0,1,1026,3,3,49,6121,0,0,,,,,,,,,,,,,,,,,,,,,
4,09/27/2016 01:23:24.9160,starting [ATB] Analog Telemetry Board...,402,1,0,41,34,0,0,0,1,1026,3,4,49,6121,0,0,,,,,,,,,,,,,,,,,,,,,
5,09/27/2016 01:23:24.9250,starting [BUS] Bus Server...,402,1,0,41,34,0,0,0,1,1026,3,5,49,6121,0,0,,,,,,,,,,,,,,,,,,,,,
6,09/27/2016 01:23:24.9340,starting [BUS] Bus Server...,402,1,0,41,34,0,0,0,1,1026,3,5,49,6121,0,0,,,,,,,,,,,,,,,,,,,,,
7,09/27/2016 01:23:25.9440,starting [I2C] I2c Server...,402,1,0,41,34,0,0,0,1,1026,3,6,49,6121,0,0,,,,,,,,,,,,,,,,,,,,,
8,09/27/2016 01:23:25.9540,starting [IVB] IV Sweep Board...,402,1,0,41,34,0,0,0,1,1026,3,7,49,6121,0,0,,,,,,,,,,,,,,,,,,,,,
9,09/27/2016 01:23:25.9640,starting [PSB] Power Support Board...,402,1,0,41,34,0,0,0,1,1026,3,8,49,6121,0,0,,,,,,,,,,,,,,,,,,,,,
10,09/27/2016 01:23:25.9730,starting [MCB] Motor Control Board...,402,1,0,41,34,0,0,0,1,1026,3,9,49,6121,0,0,,,,,,,,,,,,,,,,,,,,,
