,datetime,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,disk_1_status,disk_1_files,disk_1_sector,disk_1_playback_pct,disk_2_status,disk_2_files,disk_2_sector,disk_2_playback_pct,tcb_temperature,mcb_1_temperature,mcb_2_temperature,atb_temperature,ivb_temperature,psb_3v3_bus_voltage,psb_3v3_bus_current,psb_3v3_bus_temperature,psb_5v0_bus_voltage,psb_5v0_bus_current,psb_5v0_bus_temperature,psb_12v_bus_voltage,psb_12v_bus_current,psb_12v_bus_temperature
0,09/27/2016 01:36:43.0174,402,1,0,48,48,0,0,0,1,1028,3,1,49,561282,0,0,0,0,0,0,0,0,0,0,57.0,45.125,42.25,44.4375,32.625,3.267578125,2.337890625,50.3125,5.0078125,0.72607421875,49.375,11.9921875,0.129028320312,46.125
1,09/27/2016 01:54:27.0058,402,1,0,51,48,0,0,0,1,1028,3,2,49,1625586,0,0,0,0,0,0,0,0,0,0,59.5,47.65625,45.125,47.09375,34.9375,3.267578125,2.3515625,53.1875,5.0078125,0.72900390625,52.25,11.9921875,0.130981445312,48.9375
2,09/27/2016 01:54:27.8969,402,1,0,51,48,0,0,0,1,1028,3,3,49,1626586,0,0,0,0,0,0,0,0,0,0,59.65625,47.53125,44.9375,47.03125,34.9375,3.267578125,2.3515625,53.125,5.0078125,0.72900390625,52.1875,11.9921875,0.131958007812,48.9375
3,09/27/2016 01:54:28.9970,402,1,0,51,48,0,0,0,1,1028,3,4,49,1627586,0,0,0,0,0,0,0,0,0,0,59.875,47.65625,44.96875,46.96875,34.9375,3.267578125,2.359375,53.125,5.0078125,0.72900390625,52.25,11.9921875,0.130981445312,48.9375
4,09/27/2016 01:54:29.9081,402,1,0,51,48,0,0,0,1,1028,3,5,49,1628586,0,0,0,0,0,0,0,0,0,0,59.65625,47.59375,44.90625,47.03125,34.9375,3.267578125,2.35546875,53.1875,5.0078125,0.72900390625,52.1875,11.9921875,0.122985839844,48.9375
5,09/27/2016 01:54:31.0062,402,1,0,51,48,0,0,0,1,1028,3,6,49,1629586,0,0,0,0,0,0,0,0,0,0,59.4375,47.53125,45.0,47.125,34.9375,3.267578125,2.3515625,53.125,5.0078125,0.72900390625,52.25,11.9921875,0.131958007812,48.9375
6,09/27/2016 01:54:31.9073,402,1,0,51,48,0,0,0,1,1028,3,7,49,1630586,0,0,0,0,0,0,0,0,0,0,59.78125,47.4375,45.0625,47.03125,34.9375,3.267578125,2.349609375,53.1875,5.0078125,0.72900390625,52.25,11.9921875,0.130981445312,49.0
7,09/27/2016 01:54:33.0064,402,1,0,51,48,0,0,0,1,1028,3,8,49,1631586,0,0,0,0,0,0,0,0,0,0,59.3125,47.28125,45.15625,47.125,34.9375,3.267578125,2.353515625,53.1875,5.0078125,0.72900390625,52.25,11.9921875,0.131958007812,48.9375
8,09/27/2016 01:54:33.8965,402,1,0,51,48,0,0,0,1,1028,3,9,49,1632586,0,0,0,0,0,0,0,0,0,0,59.5,47.6875,44.96875,47.1875,34.9375,3.267578125,2.36328125,53.1875,5.0078125,0.72998046875,52.25,11.9921875,0.131958007812,48.9375
9,09/27/2016 01:54:34.9956,402,1,0,51,48,0,0,0,1,1028,3,10,49,1633586,0,0,0,0,0,0,0,0,0,0,59.34375,47.5,44.8125,46.96875,34.9375,3.267578125,2.3515625,53.1875,5.0078125,0.72900390625,52.25,11.9921875,0.122985839844,49.0
