,datetime,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15,word_16,word_17,word_18,word_19,word_20,word_21,word_22,word_23,word_24,word_25,word_26,word_27,word_28,word_29,word_30,word_31,word_32
11,09/27/2016 02:48:55.8796,0000000110010010,0000000100000000,0011011000110000,0000000000000000,0000110000000001,1100000000001100,0000000000110001,0000000001001010,1011000100010011,0000000000000000,0000000000001100,0100010100010101,1000111110101001,0100000101101001,0000000000111110,0000000000001011,0000000000110010,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000110010
12,09/27/2016 02:49:29.8246,0000000110010010,0000000100000000,0011011000110000,0000000000000000,0000110000000001,1100000000001101,0000000000110001,0000000001001011,0011010111100100,0000000000000000,0000000000001101,0100010100010101,1000111111001011,0011011001101001,0000000000111110,0000000000001100,0000000000011110,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000011110
13,09/27/2016 02:50:24.8726,0000000110010010,0000000100000000,0011011000110000,0000000000000000,0000110000000001,1100000000001110,0000000000110001,0000000001001100,0000101011001000,0000000000000000,0000000000001110,0100010100010101,1001000000000001,1100011101101001,0000000000001000,0000000001110000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000001110000
14,09/27/2016 02:52:25.8926,0000000110010010,0000000100000000,0011011000110000,0000000000000000,0000110000000001,1100000000001111,0000000000110001,0000000001001101,1110010111001000,0000000000000000,0000000000001111,0100010100010101,1001000001111011,0101001101101001,0000000000001000,0000000001101110,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000001101110
15,09/27/2016 02:52:25.9026,0000000110010010,0000000100000000,0011011000110000,0000000000000000,0000110000000001,1100000000001111,0000000000110001,0000000001001101,1110010111001000,0000000000000000,0000000000001111,0100010100010101,1001000001111011,0101001101101001,0000000000001000,0000000001101110,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000001101110
16,09/27/2016 02:53:00.7626,0000000110010010,0000000100000000,0011011000110000,0000000000000000,0000110000000001,1100000000010000,0000000000110001,0000000001001110,0110110010001100,0000000000000000,0000000000010000,0100010100010101,1001000010011101,1100110001101001,0000000000111110,0000000000001011,0000000000110010,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000110010
17,09/27/2016 02:53:30.7686,0000000110010010,0000000100000000,0011011000110000,0000000000000000,0000110000000001,1100000000010001,0000000000110001,0000000001001110,1101111111001000,0000000000000000,0000000000010001,0100010100010101,1001000010111011,0100010101101001,0000000000111110,0000000000001100,0000000000011110,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000011110
18,09/27/2016 02:53:52.9126,0000000110010010,0000000100000000,0011011000110000,0000000000000000,0000110000000001,1100000000010010,0000000000110001,0000000001001111,0011100100111100,0000000000000000,0000000000010010,0100010100010101,1001000011010010,0011001001101001,0000000000001000,0000000001110011,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000001110011
19,09/27/2016 02:57:16.7696,0000000110010010,0000000100000000,0011011000110000,0000000000000000,0000110000000001,1100000000010011,0000000000110001,0000000001010010,0101011000011101,0000000000000000,0000000000010011,0100010100010101,1001000110011110,0011011101101001,0000000000001000,0000000001101110,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000001101110
20,09/27/2016 02:57:16.7786,0000000110010010,0000000100000000,0011011000110000,0000000000000000,0000110000000001,1100000000010011,0000000000110001,0000000001010010,0101011000011101,0000000000000000,0000000000010011,0100010100010101,1001000110011110,0011011101101001,0000000000001000,0000000001101110,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000001101110
