,datetime,ascii_data,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,ascii_data
0,09/27/2016 01:23:24.8810,starting [HLT] Health Monitor...,402,1,0,41,34,0,0,0,1,1026,3,0,49,6121,0,0,starting [HLT] Health Monitor...
1,09/27/2016 01:23:24.8810,starting [HLT] Health Monitor...,402,1,0,41,34,0,0,0,1,1026,3,0,49,6121,0,0,starting [HLT] Health Monitor...
2,09/27/2016 01:23:24.8890,starting [PCU] Power Conditioning Unit...,402,1,0,41,34,0,0,0,1,1026,3,1,49,6121,0,0,starting [PCU] Power Conditioning Unit...
3,09/27/2016 01:23:24.8890,starting [PCU] Power Conditioning Unit...,402,1,0,41,34,0,0,0,1,1026,3,1,49,6121,0,0,starting [PCU] Power Conditioning Unit...
4,09/27/2016 01:23:24.8980,starting [SEQ] Command Sequencer...,402,1,0,41,34,0,0,0,1,1026,3,2,49,6121,0,0,starting [SEQ] Command Sequencer...
5,09/27/2016 01:23:24.8980,starting [SEQ] Command Sequencer...,402,1,0,41,34,0,0,0,1,1026,3,2,49,6121,0,0,starting [SEQ] Command Sequencer...
6,09/27/2016 01:23:24.9070,starting [EPC] 1553 Comm Module...,402,1,0,41,34,0,0,0,1,1026,3,3,49,6121,0,0,starting [EPC] 1553 Comm Module...
7,09/27/2016 01:23:24.9070,starting [EPC] 1553 Comm Module...,402,1,0,41,34,0,0,0,1,1026,3,3,49,6121,0,0,starting [EPC] 1553 Comm Module...
8,09/27/2016 01:23:24.9160,starting [ATB] Analog Telemetry Board...,402,1,0,41,34,0,0,0,1,1026,3,4,49,6121,0,0,starting [ATB] Analog Telemetry Board...
9,09/27/2016 01:23:24.9160,starting [ATB] Analog Telemetry Board...,402,1,0,41,34,0,0,0,1,1026,3,4,49,6121,0,0,starting [ATB] Analog Telemetry Board...
10,09/27/2016 01:23:24.9250,starting [BUS] Bus Server...,402,1,0,41,34,0,0,0,1,1026,3,5,49,6121,0,0,starting [BUS] Bus Server...
11,09/27/2016 01:23:24.9250,starting [BUS] Bus Server...,402,1,0,41,34,0,0,0,1,1026,3,5,49,6121,0,0,starting [BUS] Bus Server...
12,09/27/2016 01:23:24.9340,starting [BUS] Bus Server...,402,1,0,41,34,0,0,0,1,1026,3,5,49,6121,0,0,starting [BUS] Bus Server...
13,09/27/2016 01:23:24.9340,starting [BUS] Bus Server...,402,1,0,41,34,0,0,0,1,1026,3,5,49,6121,0,0,starting [BUS] Bus Server...
14,09/27/2016 01:23:25.9440,starting [I2C] I2c Server...,402,1,0,41,34,0,0,0,1,1026,3,6,49,6121,0,0,starting [I2C] I2c Server...
15,09/27/2016 01:23:25.9440,starting [I2C] I2c Server...,402,1,0,41,34,0,0,0,1,1026,3,6,49,6121,0,0,starting [I2C] I2c Server...
16,09/27/2016 01:23:25.9540,starting [IVB] IV Sweep Board...,402,1,0,41,34,0,0,0,1,1026,3,7,49,6121,0,0,starting [IVB] IV Sweep Board...
17,09/27/2016 01:23:25.9540,starting [IVB] IV Sweep Board...,402,1,0,41,34,0,0,0,1,1026,3,7,49,6121,0,0,starting [IVB] IV Sweep Board...
18,09/27/2016 01:23:25.9640,starting [PSB] Power Support Board...,402,1,0,41,34,0,0,0,1,1026,3,8,49,6121,0,0,starting [PSB] Power Support Board...
19,09/27/2016 01:23:25.9640,starting [PSB] Power Support Board...,402,1,0,41,34,0,0,0,1,1026,3,8,49,6121,0,0,starting [PSB] Power Support Board...
20,09/27/2016 01:23:25.9730,starting [MCB] Motor Control Board...,402,1,0,41,34,0,0,0,1,1026,3,9,49,6121,0,0,starting [MCB] Motor Control Board...
21,09/27/2016 01:23:25.9730,starting [MCB] Motor Control Board...,402,1,0,41,34,0,0,0,1,1026,3,9,49,6121,0,0,starting [MCB] Motor Control Board...
22,09/27/2016 01:23:25.9820,starting [SSD] Solid State Drive...,402,1,0,41,34,0,0,0,1,1026,3,10,49,6121,0,0,starting [SSD] Solid State Drive...
23,09/27/2016 01:23:25.9820,starting [SSD] Solid State Drive...,402,1,0,41,34,0,0,0,1,1026,3,10,49,6121,0,0,starting [SSD] Solid State Drive...
24,09/27/2016 01:23:25.9910,starting [GTS] Time Service...,402,1,0,41,34,0,0,0,1,1026,3,11,49,6121,0,0,starting [GTS] Time Service...
25,09/27/2016 01:23:25.9910,starting [GTS] Time Service...,402,1,0,41,34,0,0,0,1,1026,3,11,49,6121,0,0,starting [GTS] Time Service...
26,09/27/2016 01:23:26.0000,starting [EVR] Event Reporting...,402,1,0,41,34,0,0,0,1,1026,3,12,49,6122,0,0,starting [EVR] Event Reporting...
27,09/27/2016 01:23:26.0000,starting [EVR] Event Reporting...,402,1,0,41,34,0,0,0,1,1026,3,12,49,6122,0,0,starting [EVR] Event Reporting...
28,09/27/2016 01:23:26.0080,starting [TLM] Telemetry Processing...,402,1,0,41,34,0,0,0,1,1026,3,13,49,6122,0,0,starting [TLM] Telemetry Processing...
29,09/27/2016 01:23:26.0080,starting [TLM] Telemetry Processing...,402,1,0,41,34,0,0,0,1,1026,3,13,49,6122,0,0,starting [TLM] Telemetry Processing...
30,09/27/2016 01:23:26.0180,tlm:hss - set output rate = 6000000 bps [in,402,1,0,41,34,0,0,0,1,1026,3,14,49,6122,0,0,tlm:hss - set output rate = 6000000 bps [in
31,09/27/2016 01:23:26.0180,tlm:hss - set output rate = 6000000 bps [in,402,1,0,41,34,0,0,0,1,1026,3,14,49,6122,0,0,tlm:hss - set output rate = 6000000 bps [in
32,09/27/2016 01:23:26.0280,tlm:hss - set output rate = 6000000 bps [in,402,1,0,41,34,0,0,0,1,1026,3,14,49,6122,0,0,tlm:hss - set output rate = 6000000 bps [in
33,09/27/2016 01:23:26.0280,tlm:hss - set output rate = 6000000 bps [in,402,1,0,41,34,0,0,0,1,1026,3,14,49,6122,0,0,tlm:hss - set output rate = 6000000 bps [in
34,09/27/2016 01:23:26.8370,tlm:hss - set output rate = 6000000 bps [in,402,1,0,41,34,0,0,0,1,1026,3,14,49,6122,0,0,tlm:hss - set output rate = 6000000 bps [in
35,09/27/2016 01:23:26.8370,tlm:hss - set output rate = 6000000 bps [in,402,1,0,41,34,0,0,0,1,1026,3,14,49,6122,0,0,tlm:hss - set output rate = 6000000 bps [in
36,09/27/2016 01:23:26.8460,tlm:hss - set output rate = 6000000 bps [in,402,1,0,41,34,0,0,0,1,1026,3,14,49,6122,0,0,tlm:hss - set output rate = 6000000 bps [in
37,09/27/2016 01:23:26.8460,tlm:hss - set output rate = 6000000 bps [in,402,1,0,41,34,0,0,0,1,1026,3,14,49,6122,0,0,tlm:hss - set output rate = 6000000 bps [in
38,09/27/2016 01:23:26.8540,tlm:hss - set output rate = 6000000 bps [in,402,1,0,41,34,0,0,0,1,1026,3,14,49,6122,0,0,tlm:hss - set output rate = 6000000 bps [in
39,09/27/2016 01:23:26.8540,tlm:hss - set output rate = 6000000 bps [in,402,1,0,41,34,0,0,0,1,1026,3,14,49,6122,0,0,tlm:hss - set output rate = 6000000 bps [in
40,09/27/2016 01:23:26.8630,tlm:hss - set output rate = 6000000 bps [in,402,1,0,41,34,0,0,0,1,1026,3,14,49,6122,0,0,tlm:hss - set output rate = 6000000 bps [in
41,09/27/2016 01:23:26.8630,tlm:hss - set output rate = 6000000 bps [in,402,1,0,41,34,0,0,0,1,1026,3,14,49,6122,0,0,tlm:hss - set output rate = 6000000 bps [in
42,09/27/2016 01:23:26.8740,tlm:hss - set output rate = 6000000 bps [in,402,1,0,41,34,0,0,0,1,1026,3,14,49,6122,0,0,tlm:hss - set output rate = 6000000 bps [in
