,datetime,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,disk_1_status,disk_1_files,disk_1_sector,disk_1_playback_pct,disk_2_status,disk_2_files,disk_2_sector,disk_2_playback_pct,tcb_temperature,mcb_1_temperature,mcb_2_temperature,atb_temperature,ivb_temperature,psb_3v3_bus_voltage,psb_3v3_bus_current,psb_3v3_bus_temperature,psb_5v0_bus_voltage,psb_5v0_bus_current,psb_5v0_bus_temperature,psb_12v_bus_voltage,psb_12v_bus_current,psb_12v_bus_temperature
19,10/19/2016 09:06:33.8871,402,1,0,28,21,0,0,0,1,1028,3,20,49,265201,0,0,0,0,0,0,0,0,0,0,31.640625,27.59375,26.6875,30.109375,20.375,3.283203125,1.9990234375,29.9375,4.99609375,0.72607421875,30.375,12.0078125,0.212036132812,28.0625
20,10/19/2016 09:06:34.9832,402,1,0,28,21,0,0,0,1,1028,3,21,49,266201,0,0,0,0,0,0,0,0,0,0,31.671875,27.546875,26.875,30.265625,20.375,3.283203125,2.0,29.9375,4.99609375,0.72607421875,30.375,12.0078125,0.203002929688,28.0625
21,10/19/2016 09:06:36.0693,402,1,0,28,21,0,0,0,1,1028,3,22,49,267201,0,0,0,0,0,0,0,0,0,0,31.59375,27.390625,26.703125,30.09375,20.375,3.283203125,1.99609375,30.0,4.99609375,0.72607421875,30.375,12.0078125,0.212036132812,28.0625
22,10/19/2016 09:06:36.9664,402,1,0,28,21,0,0,0,1,1028,3,23,49,268201,0,0,0,0,0,0,0,0,0,0,31.125,27.46875,26.78125,30.15625,20.375,3.283203125,1.9970703125,30.0,4.99609375,0.72607421875,30.375,12.0078125,0.212036132812,28.0625
23,10/19/2016 09:06:38.0585,402,1,0,28,21,0,0,0,1,1028,3,24,49,269201,0,0,0,0,0,0,0,0,0,0,31.25,27.53125,26.84375,30.078125,20.375,3.283203125,2.005859375,30.0,4.99609375,0.72705078125,30.375,12.0078125,0.212036132812,28.125
24,10/19/2016 09:06:38.9476,402,1,0,28,21,0,0,0,1,1028,3,25,49,270201,0,0,0,0,0,0,0,0,0,0,31.46875,27.59375,26.65625,30.046875,20.375,3.283203125,1.998046875,30.0,4.99609375,0.72607421875,30.4375,12.0078125,0.212036132812,28.125
25,10/19/2016 09:06:40.0547,402,1,0,28,21,0,0,0,1,1028,3,26,49,271201,0,0,0,0,0,0,0,0,0,0,31.5625,27.5,26.8125,30.0,20.4375,3.283203125,1.9990234375,30.0,4.99609375,0.72607421875,30.4375,12.0078125,0.203002929688,28.125
26,10/19/2016 09:06:40.9478,402,1,0,28,21,0,0,0,1,1028,3,27,49,272201,0,0,0,0,0,0,0,0,0,0,31.359375,27.484375,26.71875,30.125,20.4375,3.283203125,1.9951171875,30.0625,4.99609375,0.72705078125,30.4375,12.0078125,0.212036132812,28.125
27,10/19/2016 09:06:42.0459,402,1,0,28,21,0,0,0,1,1028,3,28,49,273201,0,0,0,0,0,0,0,0,0,0,31.796875,27.6875,26.921875,30.015625,20.4375,3.283203125,1.99609375,30.0625,4.99609375,0.72705078125,30.4375,12.0078125,0.203002929688,28.125
28,10/19/2016 09:06:42.9460,402,1,0,28,21,0,0,0,1,1028,3,29,49,274202,0,0,0,0,0,0,0,0,0,0,31.265625,27.65625,26.65625,29.96875,20.4375,3.283203125,1.9990234375,30.0625,4.99609375,0.72705078125,30.5,12.0078125,0.212036132812,28.1875
29,10/19/2016 09:06:44.0491,402,1,0,28,21,0,0,0,1,1028,3,30,49,275201,0,0,0,0,0,0,0,0,0,0,31.53125,27.578125,26.828125,30.015625,20.4375,3.283203125,1.99609375,30.0625,4.99609375,0.72705078125,30.5,12.0078125,0.212036132812,28.1875
30,10/19/2016 09:06:44.9382,402,1,0,28,21,0,0,0,1,1028,3,31,49,276201,0,0,0,0,0,0,0,0,0,0,31.4375,27.5,26.78125,30.09375,20.375,3.283203125,1.99609375,30.125,4.99609375,0.72607421875,30.5,12.0078125,0.212036132812,28.1875
31,10/19/2016 09:06:46.0433,402,1,0,28,21,0,0,0,1,1028,3,32,49,277201,0,0,0,0,0,0,0,0,0,0,31.953125,27.734375,26.6875,30.046875,20.375,3.283203125,2.0078125,30.125,4.99609375,0.72607421875,30.5,12.0078125,0.212036132812,28.1875
32,10/19/2016 09:06:46.9434,402,1,0,28,21,0,0,0,1,1028,3,33,49,278201,0,0,0,0,0,0,0,0,0,0,31.75,27.625,26.828125,30.21875,20.375,3.283203125,1.998046875,30.125,4.99609375,0.72705078125,30.5625,12.0078125,0.203002929688,28.1875
